title,genres,keywords,director,cast,year,vote_average,runtime,overview,country
"Interstellar","Adventure Drama Science Fiction","wormhole space travel black hole relativity love across time existential","Christopher Nolan","Matthew McConaughey Anne Hathaway Jessica Chastain Michael Caine",2014,8.4,169,"The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.",United States
"Inception","Action Science Fiction Adventure","dreams subconscious heist mind-bending totem reality","Christopher Nolan","Leonardo DiCaprio Joseph Gordon-Levitt Elliot Page Tom Hardy",2010,8.4,148,"Cobb, a skilled thief who steals corporate secrets through dream-sharing technology, is given the inverse task of planting an idea into the mind of a C.E.O.",United States
"Memento","Mystery Thriller","amnesia reverse chronology unreliable narrator polaroid tattoos","Christopher Nolan","Guy Pearce Carrie-Anne Moss Joe Pantoliano",2000,8.2,113,"Leonard Shelby, who is tracking down the man who raped and murdered his wife, suffers from a rare form of short-term memory loss and uses notes and tattoos to hunt for justice.",United States
"Ex Machina","Drama Science Fiction Thriller","artificial intelligence turing test psychological game isolation manipulation","Alex Garland","Domhnall Gleeson Alicia Vikander Oscar Isaac",2015,7.6,108,"Caleb, a 26-year-old coder at the world's largest internet company, wins a competition to spend a week at a private mountain retreat belonging to the company's reclusive CEO, only to administer a Turing test to an intelligent female android.",United Kingdom
"Forrest Gump","Comedy Drama Romance","destiny running vietnam friendship wholesome nostalgic","Robert Zemeckis","Tom Hanks Robin Wright Gary Sinise Sally Field",1994,8.5,142,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do.",United States
"Spotlight","Drama History","journalism investigation truth justice boston globe","Tom McCarthy","Mark Ruffalo Michael Keaton Rachel McAdams Liev Schreiber",2015,8.1,129,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",United States
"Amélie","Comedy Romance","paris whimsical kindness quirky romance feel-good","Jean-Pierre Jeunet","Audrey Tautou Mathieu Kassovitz Rufus",2001,8.3,122,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.",France
"Parasite","Comedy Thriller Drama","class struggle dark humor con artist suspense social commentary","Bong Joon-ho","Song Kang-ho Lee Sun-kyun Cho Yeo-jeong Choi Woo-shik",2019,8.5,132,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",South Korea
"La La Land","Comedy Drama Romance Music","jazz hollywood dreams bittersweet musical date night","Damien Chazelle","Ryan Gosling Emma Stone John Legend J.K. Simmons",2016,7.9,128,"Mia, an aspiring actress, and Sebastian, a dedicated jazz musician, are struggling to make ends meet in a city known for crushing hopes and breaking hearts.",United States
"Whiplash","Drama Music","drums obsession mentor intense perfectionism thrilling","Damien Chazelle","Miles Teller J.K. Simmons Paul Reiser",2014,8.4,107,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, pushing his physical and mental limits.",United States
